profit_target,stop_loss,exit_time,iv_momentum_threshold,trades,total_return,sharpe,profit_factor,max_drawdown,win_rate,avg_win,avg_loss,cagr,sharpe_valid,pf_valid
0.03,0.08,11:30:00,0.005,73,-0.0192,-10.0901,0.2045,-0.0197,0.2603,259.25,-445.96,-0.0132,-10.0901,0.2045
0.03,0.08,11:30:00,0.01,54,-0.0149,-9.93,0.2147,-0.0154,0.2593,290.39,-473.42,-0.0102,-9.93,0.2147
0.03,0.08,12:00:00,0.0,96,-0.0256,-10.1377,0.2113,-0.0259,0.2604,274.01,-456.63,-0.0176,-10.1377,0.2113
0.03,0.08,12:00:00,0.003,82,-0.022,-9.9989,0.2108,-0.0223,0.2683,267.57,-465.36,-0.0152,-9.9989,0.2108
0.03,0.08,12:00:00,0.005,73,-0.019,-9.8112,0.2123,-0.0194,0.274,256.68,-456.25,-0.0131,-9.8112,0.2123
0.03,0.08,12:00:00,0.01,54,-0.014,-9.1355,0.234,-0.0146,0.2778,284.88,-468.26,-0.0096,-9.1355,0.234
0.03,0.08,13:00:00,0.0,96,-0.0285,-10.6066,0.2144,-0.0291,0.2708,299.16,-518.14,-0.0196,-10.6066,0.2144
0.03,0.08,13:00:00,0.003,82,-0.0246,-10.4197,0.2171,-0.0254,0.2805,296.28,-531.94,-0.0169,-10.4197,0.2171
0.03,0.08,13:00:00,0.005,73,-0.0221,-10.9558,0.1943,-0.0225,0.274,266.33,-517.28,-0.0152,-10.9558,0.1943
0.03,0.08,13:00:00,0.01,54,-0.0162,-10.3073,0.2144,-0.0167,0.2778,294.75,-528.88,-0.0112,-10.3073,0.2144
0.03,0.08,14:00:00,0.0,96,-0.032,-10.8558,0.205,-0.033,0.2604,329.98,-566.78,-0.0221,-10.8558,0.205
0.03,0.08,14:00:00,0.003,82,-0.0282,-10.8405,0.2051,-0.0298,0.2683,331.18,-591.92,-0.0195,-10.8405,0.2051
0.03,0.08,14:00:00,0.005,73,-0.0245,-11.2273,0.1911,-0.0255,0.2603,305.15,-561.96,-0.0169,-11.2273,0.1911
0.03,0.08,14:00:00,0.01,54,-0.0183,-10.8227,0.1992,-0.0191,0.2778,303.74,-586.44,-0.0126,-10.8227,0.1992
0.03,0.08,14:45:00,0.0,96,-0.0323,-10.7514,0.205,-0.0338,0.2708,320.12,-580.1,-0.0223,-10.7514,0.205
0.03,0.08,14:45:00,0.003,82,-0.0283,-10.7336,0.2055,-0.0303,0.2683,333.17,-594.55,-0.0195,-10.7336,0.2055
0.03,0.08,14:45:00,0.005,73,-0.0251,-11.2638,0.1885,-0.0263,0.2603,307.46,-573.89,-0.0173,-11.2638,0.1885
0.03,0.08,14:45:00,0.01,54,-0.0186,-10.7431,0.1982,-0.0196,0.2778,306.67,-595.13,-0.0128,-10.7431,0.1982
0.05,0.04,11:30:00,0.0,96,-0.0241,-9.9828,0.2332,-0.0247,0.2083,366.25,-413.23,-0.0166,-9.9828,0.2332
0.05,0.04,11:30:00,0.003,82,-0.0212,-10.2395,0.2246,-0.0218,0.2195,341.85,-428.16,-0.0146,-10.2395,0.2246
0.05,0.04,11:30:00,0.005,73,-0.0185,-10.0337,0.2318,-0.0193,0.2192,349.38,-423.04,-0.0128,-10.0337,0.2318
0.05,0.04,11:30:00,0.01,54,-0.0143,-9.9555,0.2398,-0.015,0.2037,410.34,-437.79,-0.0098,-9.9555,0.2398
0.05,0.04,12:00:00,0.0,96,-0.0256,-10.2203,0.2271,-0.026,0.1979,396.38,-430.62,-0.0177,-10.2203,0.2271
0.05,0.04,12:00:00,0.003,82,-0.0226,-10.5211,0.2198,-0.023,0.2073,374.09,-445.05,-0.0155,-10.5211,0.2198
0.05,0.04,12:00:00,0.005,73,-0.0192,-10.0555,0.2347,-0.0196,0.2192,367.66,-439.74,-0.0132,-10.0555,0.2347
0.05,0.04,12:00:00,0.01,54,-0.0146,-9.7825,0.2444,-0.0153,0.2037,428.54,-448.54,-0.01,-9.7825,0.2444
0.05,0.04,13:00:00,0.0,96,-0.0294,-11.3478,0.2078,-0.0298,0.1979,405.29,-481.34,-0.0203,-11.3478,0.2078
0.05,0.04,13:00:00,0.003,82,-0.0258,-11.6494,0.2017,-0.0263,0.2073,384.05,-497.9,-0.0178,-11.6494,0.2017
0.05,0.04,13:00:00,0.005,73,-0.0215,-11.0332,0.2191,-0.022,0.2055,401.95,-474.49,-0.0148,-11.0332,0.2191
0.05,0.04,13:00:00,0.01,54,-0.0162,-10.8163,0.2238,-0.0169,0.2037,424.29,-485.08,-0.0111,-10.8163,0.2238
0.05,0.04,14:00:00,0.0,96,-0.0321,-12.3998,0.1868,-0.0325,0.1562,490.93,-486.75,-0.0221,-12.3998,0.1868
0.05,0.04,14:00:00,0.003,82,-0.0286,-12.9126,0.1781,-0.0291,0.1585,476.33,-503.81,-0.0197,-12.9126,0.1781
0.05,0.04,14:00:00,0.005,73,-0.0241,-12.3193,0.1919,-0.0245,0.1644,476.28,-488.22,-0.0166,-12.3193,0.1919
0.05,0.04,14:00:00,0.01,54,-0.0183,-12.221,0.1938,-0.019,0.1667,489.44,-505.17,-0.0126,-12.221,0.1938
0.05,0.04,14:45:00,0.0,96,-0.0328,-12.2751,0.1914,-0.0334,0.1667,484.51,-506.29,-0.0226,-12.2751,0.1914
0.05,0.04,14:45:00,0.003,82,-0.0283,-12.6805,0.1877,-0.029,0.1585,503.91,-505.78,-0.0196,-12.6805,0.1877
0.05,0.04,14:45:00,0.005,73,-0.0238,-12.033,0.2033,-0.0244,0.1644,506.16,-489.69,-0.0164,-12.033,0.2033
0.05,0.04,14:45:00,0.01,54,-0.0178,-11.7844,0.206,-0.0185,0.1667,512.36,-497.32,-0.0122,-11.7844,0.206
0.05,0.06,11:30:00,0.0,96,-0.0247,-9.8228,0.2287,-0.0256,0.2083,366.25,-421.51,-0.017,-9.8228,0.2287
0.05,0.06,11:30:00,0.003,82,-0.022,-9.9937,0.2188,-0.0229,0.2195,341.85,-439.35,-0.0151,-9.9937,0.2188
0.05,0.06,11:30:00,0.005,73,-0.0189,-9.7411,0.2281,-0.02,0.2192,349.38,-429.98,-0.013,-9.7411,0.2281
0.05,0.06,11:30:00,0.01,54,-0.0149,-9.8116,0.2331,-0.0159,0.2037,410.34,-450.33,-0.0102,-9.8116,0.2331
0.05,0.06,12:00:00,0.0,96,-0.0268,-10.134,0.2194,-0.0275,0.1979,396.38,-445.85,-0.0185,-10.134,0.2194
0.05,0.06,12:00:00,0.003,82,-0.0236,-10.3146,0.2121,-0.0243,0.2073,374.09,-461.2,-0.0163,-10.3146,0.2121
0.05,0.06,12:00:00,0.005,73,-0.0196,-9.7933,0.2312,-0.0203,0.2192,367.66,-446.35,-0.0135,-9.7933,0.2312
0.05,0.06,12:00:00,0.01,54,-0.0148,-9.5374,0.2411,-0.0159,0.2037,428.54,-454.66,-0.0102,-9.5374,0.2411
0.05,0.06,13:00:00,0.0,96,-0.0296,-9.6698,0.2416,-0.0315,0.2083,471.47,-513.46,-0.0204,-9.6698,0.2416
0.05,0.06,13:00:00,0.003,82,-0.0255,-9.5945,0.2446,-0.0276,0.2195,458.76,-527.58,-0.0176,-9.5945,0.2446
0.05,0.06,13:00:00,0.005,73,-0.0232,-11.1715,0.2062,-0.0241,0.2055,401.95,-504.11,-0.016,-11.1715,0.2062
0.05,0.06,13:00:00,0.01,54,-0.0173,-10.9399,0.2122,-0.0184,0.2037,424.29,-511.45,-0.0119,-10.9399,0.2122
0.05,0.06,14:00:00,0.0,96,-0.0328,-10.4981,0.2171,-0.0347,0.1667,568.3,-523.42,-0.0226,-10.4981,0.2171
0.05,0.06,14:00:00,0.003,82,-0.0287,-10.5473,0.2166,-0.0312,0.1707,565.8,-537.87,-0.0198,-10.5473,0.2166
0.05,0.06,14:00:00,0.005,73,-0.0257,-12.1146,0.182,-0.0267,0.1644,476.28,-514.78,-0.0177,-12.1146,0.182
0.05,0.06,14:00:00,0.01,54,-0.0192,-11.7812,0.1868,-0.0205,0.1667,489.44,-524.15,-0.0132,-11.7812,0.1868
0.05,0.06,14:45:00,0.0,96,-0.0334,-10.4042,0.2217,-0.036,0.1875,529.28,-550.96,-0.0231,-10.4042,0.2217
0.05,0.06,14:45:00,0.003,82,-0.0291,-10.4422,0.2226,-0.0321,0.1829,555.05,-558.33,-0.0201,-10.4422,0.2226
0.05,0.06,14:45:00,0.005,73,-0.026,-11.8327,0.1903,-0.0273,0.1781,470.77,-535.98,-0.018,-11.8327,0.1903
0.05,0.06,14:45:00,0.01,54,-0.0192,-11.3473,0.1948,-0.0206,0.1852,465.73,-543.24,-0.0133,-11.3473,0.1948
0.05,0.08,11:30:00,0.0,96,-0.0254,-9.8779,0.2239,-0.0262,0.2083,366.25,-430.52,-0.0175,-9.8779,0.2239
0.05,0.08,11:30:00,0.003,82,-0.0225,-10.0091,0.2147,-0.0233,0.2195,341.85,-447.74,-0.0155,-10.0091,0.2147
0.05,0.08,11:30:00,0.005,73,-0.02,-9.8159,0.2184,-0.021,0.2192,349.38,-449.04,-0.0138,-9.8159,0.2184
0.05,0.08,11:30:00,0.01,54,-0.0159,-9.9492,0.2207,-0.0168,0.2037,410.34,-475.59,-0.011,-9.9492,0.2207
0.05,0.08,12:00:00,0.0,96,-0.0272,-10.1453,0.2169,-0.0278,0.1979,396.38,-450.94,-0.0187,-10.1453,0.2169
0.05,0.08,12:00:00,0.003,82,-0.0239,-10.2757,0.2104,-0.0245,0.2073,374.09,-464.97,-0.0164,-10.2757,0.2104
0.05,0.08,12:00:00,0.005,73,-0.0206,-9.8987,0.2222,-0.0212,0.2192,367.66,-464.36,-0.0142,-9.8987,0.2222
0.05,0.08,12:00:00,0.01,54,-0.0158,-9.7042,0.2294,-0.0168,0.2037,428.54,-477.89,-0.0109,-9.7042,0.2294
0.05,0.08,13:00:00,0.0,96,-0.0292,-9.645,0.244,-0.031,0.2083,471.47,-508.4,-0.0201,-9.645,0.244
0.05,0.08,13:00:00,0.003,82,-0.0254,-9.5553,0.2452,-0.0274,0.2195,458.76,-526.28,-0.0175,-9.5553,0.2452
0.05,0.08,13:00:00,0.005,73,-0.0237,-11.0644,0.2029,-0.0244,0.2055,401.95,-512.29,-0.0163,-11.0644,0.2029
0.05,0.08,13:00:00,0.01,54,-0.018,-10.9286,0.2059,-0.019,0.2037,424.29,-527.22,-0.0124,-10.9286,0.2059
0.05,0.08,14:00:00,0.0,96,-0.0339,-10.6085,0.2113,-0.0358,0.1667,568.3,-537.91,-0.0234,-10.6085,0.2113
0.05,0.08,14:00:00,0.003,82,-0.0301,-10.6807,0.2082,-0.0325,0.1707,565.8,-559.61,-0.0208,-10.6807,0.2082
0.05,0.08,14:00:00,0.005,73,-0.0271,-12.1194,0.1742,-0.0281,0.1644,476.28,-537.95,-0.0187,-12.1194,0.1742
0.05,0.08,14:00:00,0.01,54,-0.0207,-11.9734,0.1751,-0.0219,0.1667,489.44,-558.92,-0.0143,-11.9734,0.1751
0.05,0.08,14:45:00,0.0,96,-0.0335,-10.254,0.2214,-0.0359,0.1875,529.28,-551.66,-0.0231,-10.254,0.2214
0.05,0.08,14:45:00,0.003,82,-0.0296,-10.3067,0.2196,-0.0325,0.1829,555.05,-565.93,-0.0204,-10.3067,0.2196
0.05,0.08,14:45:00,0.005,73,-0.027,-11.7419,0.1848,-0.0281,0.1781,470.77,-552.0,-0.0186,-11.7419,0.1848
0.05,0.08,14:45:00,0.01,54,-0.0203,-11.4095,0.1865,-0.0215,0.1852,465.73,-567.51,-0.014,-11.4095,0.1865
0.07,0.04,11:30:00,0.0,96,-0.0239,-9.5574,0.242,-0.0245,0.1979,402.06,-410.03,-0.0165,-9.5574,0.242
