profit_target,stop_loss,exit_time,iv_momentum_threshold,trades,total_return,sharpe,profit_factor,max_drawdown,win_rate,avg_win,avg_loss,cagr,sharpe_valid,pf_valid
0.1,0.04,12:00:00,0.005,73,-0.0208,-12.0436,0.1754,-0.0206,0.1918,316.05,-427.65,-0.0143,-12.0436,0.1754
0.1,0.04,12:00:00,0.01,54,-0.0162,-12.4181,0.1653,-0.0161,0.1667,357.34,-432.3,-0.0112,-12.4181,0.1653
0.1,0.04,13:00:00,0.0,96,-0.0315,-13.2588,0.1532,-0.0316,0.1771,335.59,-471.25,-0.0218,-13.2588,0.1532
0.1,0.04,13:00:00,0.003,82,-0.0281,-14.3224,0.1351,-0.0282,0.1829,292.98,-485.51,-0.0194,-14.3224,0.1351
0.1,0.04,13:00:00,0.005,73,-0.0233,-13.3591,0.1581,-0.0233,0.1918,312.29,-468.75,-0.016,-13.3591,0.1581
0.1,0.04,13:00:00,0.01,54,-0.0184,-15.1438,0.1239,-0.0183,0.1852,260.04,-477.14,-0.0127,-15.1438,0.1239
0.1,0.04,14:00:00,0.0,96,-0.0359,-15.5262,0.111,-0.0362,0.1042,447.81,-468.99,-0.0248,-15.5262,0.111
0.1,0.04,14:00:00,0.003,82,-0.0321,-16.7428,0.0984,-0.0324,0.1098,389.49,-487.78,-0.0222,-16.7428,0.0984
0.1,0.04,14:00:00,0.005,73,-0.027,-15.7365,0.1148,-0.0274,0.1233,389.49,-477.17,-0.0186,-15.7365,0.1148
0.1,0.04,14:00:00,0.01,54,-0.0217,-18.6167,0.0746,-0.0219,0.1111,291.95,-489.39,-0.015,-18.6167,0.0746
0.1,0.04,14:45:00,0.0,96,-0.0389,-17.5414,0.0884,-0.0387,0.0938,419.22,-490.34,-0.0269,-17.5414,0.0884
0.1,0.04,14:45:00,0.003,82,-0.0343,-19.7335,0.0733,-0.0342,0.0732,452.96,-487.57,-0.0237,-19.7335,0.0733
0.1,0.04,14:45:00,0.005,73,-0.0293,-18.8798,0.085,-0.0291,0.0822,452.96,-477.19,-0.0202,-18.8798,0.085
0.1,0.04,14:45:00,0.01,54,-0.0237,-25.5457,0.0311,-0.0235,0.0556,253.93,-479.99,-0.0163,-25.5457,0.0311
0.1,0.06,11:30:00,0.0,96,-0.0259,-10.6773,0.1954,-0.0256,0.1979,331.16,-418.21,-0.0179,-10.6773,0.1954
0.1,0.06,11:30:00,0.003,82,-0.0233,-11.2187,0.1768,-0.023,0.2073,294.22,-435.16,-0.016,-11.2187,0.1768
0.1,0.06,11:30:00,0.005,73,-0.0201,-10.9158,0.1869,-0.0198,0.2055,307.38,-425.45,-0.0138,-10.9158,0.1869
0.1,0.06,11:30:00,0.01,54,-0.0161,-11.4483,0.178,-0.0158,0.1852,347.58,-443.89,-0.0111,-11.4483,0.178
0.1,0.06,12:00:00,0.0,96,-0.0284,-11.3683,0.1766,-0.0284,0.1771,358.28,-436.67,-0.0196,-11.3683,0.1766
0.1,0.06,12:00:00,0.003,82,-0.0255,-12.2265,0.153,-0.0255,0.1829,307.46,-449.92,-0.0176,-12.2265,0.153
0.1,0.06,12:00:00,0.005,73,-0.0212,-11.6095,0.1728,-0.0212,0.1918,316.05,-434.05,-0.0146,-11.6095,0.1728
0.1,0.06,12:00:00,0.01,54,-0.0165,-11.9494,0.1631,-0.0164,0.1667,357.34,-438.16,-0.0114,-11.9494,0.1631
0.1,0.06,13:00:00,0.0,96,-0.0318,-11.0092,0.1897,-0.0333,0.1875,412.99,-502.42,-0.0219,-11.0092,0.1897
0.1,0.06,13:00:00,0.003,82,-0.0278,-11.3385,0.1805,-0.0295,0.1951,382.72,-514.11,-0.0192,-11.3385,0.1805
0.1,0.06,13:00:00,0.005,73,-0.025,-13.2979,0.1488,-0.0254,0.1918,312.29,-497.87,-0.0172,-13.2979,0.1488
0.1,0.06,13:00:00,0.01,54,-0.0195,-14.88,0.1175,-0.0197,0.1852,260.04,-502.91,-0.0134,-14.88,0.1175
0.1,0.06,14:00:00,0.0,96,-0.0365,-12.6282,0.1452,-0.0383,0.1146,564.27,-502.9,-0.0252,-12.6282,0.1452
0.1,0.06,14:00:00,0.003,82,-0.0322,-12.9583,0.14,-0.0345,0.122,523.42,-519.26,-0.0222,-12.9583,0.14
0.1,0.06,14:00:00,0.005,73,-0.0286,-15.106,0.1091,-0.0295,0.1233,389.49,-501.97,-0.0197,-15.106,0.1091
0.1,0.06,14:00:00,0.01,54,-0.0226,-17.0993,0.0721,-0.0233,0.1111,291.95,-506.48,-0.0155,-17.0993,0.0721
0.1,0.06,14:45:00,0.0,96,-0.0394,-13.8829,0.1235,-0.0406,0.1146,504.35,-528.33,-0.0272,-13.8829,0.1235
0.1,0.06,14:45:00,0.003,82,-0.0348,-14.5919,0.1142,-0.0366,0.0976,561.58,-531.63,-0.0241,-14.5919,0.1142
0.1,0.06,14:45:00,0.005,73,-0.0313,-17.5045,0.0812,-0.0313,0.0959,394.83,-515.68,-0.0216,-17.5045,0.0812
0.1,0.06,14:45:00,0.01,54,-0.025,-21.3656,0.0313,-0.0248,0.0741,201.96,-515.59,-0.0172,-21.3656,0.0313
0.1,0.08,11:30:00,0.0,96,-0.0266,-10.7124,0.1913,-0.0262,0.1979,331.16,-427.09,-0.0183,-10.7124,0.1913
0.1,0.08,11:30:00,0.003,82,-0.0238,-11.1979,0.1735,-0.0235,0.2073,294.22,-443.42,-0.0164,-11.1979,0.1735
0.1,0.08,11:30:00,0.005,73,-0.0212,-10.9219,0.179,-0.0208,0.2055,307.38,-444.18,-0.0146,-10.9219,0.179
0.1,0.08,11:30:00,0.01,54,-0.0171,-11.476,0.1686,-0.0168,0.1852,347.58,-468.58,-0.0118,-11.476,0.1686
0.1,0.08,12:00:00,0.0,96,-0.0288,-11.3581,0.1746,-0.0287,0.1771,358.28,-441.63,-0.0199,-11.3581,0.1746
0.1,0.08,12:00:00,0.003,82,-0.0258,-12.142,0.1518,-0.0257,0.1829,307.46,-453.57,-0.0178,-12.142,0.1518
0.1,0.08,12:00:00,0.005,73,-0.0222,-11.622,0.1661,-0.0221,0.1918,316.05,-451.44,-0.0153,-11.622,0.1661
0.1,0.08,12:00:00,0.01,54,-0.0175,-11.9729,0.1552,-0.0173,0.1667,357.34,-460.35,-0.012,-11.9729,0.1552
0.1,0.08,13:00:00,0.0,96,-0.0314,-11.0009,0.1916,-0.0328,0.1875,412.99,-497.49,-0.0216,-11.0009,0.1916
0.1,0.08,13:00:00,0.003,82,-0.0277,-11.2922,0.1809,-0.0293,0.1951,382.72,-512.84,-0.0191,-11.2922,0.1809
0.1,0.08,13:00:00,0.005,73,-0.0255,-13.0798,0.1465,-0.0258,0.1918,312.29,-505.91,-0.0176,-13.0798,0.1465
0.1,0.08,13:00:00,0.01,54,-0.0202,-14.5977,0.114,-0.0203,0.1852,260.04,-518.32,-0.0139,-14.5977,0.114
0.1,0.08,14:00:00,0.0,96,-0.0377,-12.6919,0.1414,-0.0394,0.1146,564.27,-516.53,-0.026,-12.6919,0.1414
0.1,0.08,14:00:00,0.003,82,-0.0336,-12.999,0.1347,-0.0359,0.122,523.42,-539.79,-0.0232,-12.999,0.1347
0.1,0.08,14:00:00,0.005,73,-0.03,-14.9044,0.1045,-0.0308,0.1233,389.49,-524.05,-0.0207,-14.9044,0.1045
0.1,0.08,14:00:00,0.01,54,-0.0241,-16.8522,0.0677,-0.0247,0.1111,291.95,-539.07,-0.0166,-16.8522,0.0677
0.1,0.08,14:45:00,0.0,96,-0.0394,-13.6194,0.1234,-0.0406,0.1146,504.35,-528.97,-0.0272,-13.6194,0.1234
0.1,0.08,14:45:00,0.003,82,-0.0354,-14.2384,0.1127,-0.037,0.0976,561.58,-538.52,-0.0244,-14.2384,0.1127
0.1,0.08,14:45:00,0.005,73,-0.0322,-16.9975,0.079,-0.0321,0.0959,394.83,-530.25,-0.0222,-16.9975,0.079
0.1,0.08,14:45:00,0.01,54,-0.026,-20.5231,0.0301,-0.0257,0.0741,201.96,-536.94,-0.018,-20.5231,0.0301
